================ Training Loss (Thu Jun 16 12:31:38 2022) ================
(epoch: 300, iters: 10, time: 0.271, data: 0.205) D_A: 0.162 G_A: 0.495 cycle_A: 0.174 idt_A: 0.046 D_B: 0.225 G_B: 0.159 cycle_B: 0.115 idt_B: 0.057 
(epoch: 310, iters: 10, time: 0.273, data: 0.165) D_A: 0.085 G_A: 0.460 cycle_A: 0.151 idt_A: 0.067 D_B: 0.262 G_B: 0.254 cycle_B: 0.164 idt_B: 0.048 
(epoch: 320, iters: 10, time: 2.524, data: 0.170) D_A: 0.135 G_A: 0.551 cycle_A: 0.154 idt_A: 0.050 D_B: 0.248 G_B: 0.254 cycle_B: 0.117 idt_B: 0.049 
(epoch: 330, iters: 10, time: 0.273, data: 0.182) D_A: 0.116 G_A: 0.573 cycle_A: 0.154 idt_A: 0.052 D_B: 0.221 G_B: 0.237 cycle_B: 0.128 idt_B: 0.048 
(epoch: 340, iters: 10, time: 0.273, data: 0.172) D_A: 0.173 G_A: 0.565 cycle_A: 0.160 idt_A: 0.041 D_B: 0.244 G_B: 0.281 cycle_B: 0.099 idt_B: 0.053 
(epoch: 350, iters: 10, time: 0.271, data: 0.209) D_A: 0.121 G_A: 0.387 cycle_A: 0.140 idt_A: 0.046 D_B: 0.208 G_B: 0.224 cycle_B: 0.103 idt_B: 0.045 
(epoch: 360, iters: 10, time: 2.781, data: 0.209) D_A: 0.118 G_A: 0.532 cycle_A: 0.171 idt_A: 0.040 D_B: 0.246 G_B: 0.232 cycle_B: 0.089 idt_B: 0.057 
(epoch: 370, iters: 10, time: 0.273, data: 0.178) D_A: 0.112 G_A: 0.496 cycle_A: 0.122 idt_A: 0.038 D_B: 0.254 G_B: 0.227 cycle_B: 0.085 idt_B: 0.039 
(epoch: 380, iters: 10, time: 0.271, data: 0.200) D_A: 0.113 G_A: 0.529 cycle_A: 0.119 idt_A: 0.037 D_B: 0.253 G_B: 0.228 cycle_B: 0.077 idt_B: 0.039 
(epoch: 390, iters: 10, time: 0.272, data: 0.200) D_A: 0.130 G_A: 0.558 cycle_A: 0.133 idt_A: 0.040 D_B: 0.253 G_B: 0.240 cycle_B: 0.082 idt_B: 0.046 
(epoch: 400, iters: 10, time: 3.048, data: 0.171) D_A: 0.082 G_A: 0.574 cycle_A: 0.123 idt_A: 0.044 D_B: 0.251 G_B: 0.241 cycle_B: 0.088 idt_B: 0.045 
